name,lat,lon
KM 29.7,-33.6188444134755,-70.85769431732
KM 29.8,-33.6196248407806,-70.85826667734
KM 29.9,-33.6203890057427,-70.85882691983
KM 30,-33.6211430404843,-70.8593945155
KM 30.1,-33.62191,-70.859975
KM 30.2,-33.6226733333333,-70.86054666666
KM 30.3,-33.6234316666666,-70.86111999999
KM 30.4,-33.6242224734697,-70.86169402535
KM 30.5,-33.6249541277405,-70.86223981665
KM 30.6,-33.6257548832469,-70.86283899271
KM 30.7,-33.626543401948,-70.86341141789
KM 30.8,-33.6273055319489,-70.86397906757
KM 30.9,-33.6280595542656,-70.86455162706
KM 31,-33.6288402297638,-70.86513385579
KM 31.1,-33.6295799676935,-70.86567236883
KM 31.2,-33.6303683333333,-70.86628333333
KM 31.3,-33.6310920351769,-70.86681023427
KM 31.4,-33.6318622755611,-70.86738279082
KM 31.5,-33.632667,-70.867973
KM 31.6,-33.6333844388286,-70.86850606288
KM 31.7,-33.6342132872661,-70.8691238566
KM 31.8,-33.6349043401521,-70.86964850623
KM 31.9,-33.6356184459143,-70.87016869757
KM 32,-33.6364228102679,-70.8707410948
KM 32.1,-33.6371763998405,-70.87132774788
KM 32.2,-33.6379768917965,-70.87191895425
KM 32.3,-33.6387304182617,-70.87247981144
KM 32.4,-33.6395006159961,-70.87305705535
KM 32.5,-33.6402912683562,-70.87362016109
KM 32.6,-33.6410291085696,-70.87415997456
KM 32.7,-33.6417924566929,-70.87474900465
KM 32.8,-33.6425635773809,-70.8753192445
KM 32.9,-33.6433346893644,-70.87588714667
KM 33,-33.6440979681496,-70.87644804301
KM 33.1,-33.6448612753145,-70.87702303191
KM 33.2,-33.6456167180689,-70.8775769312
KM 33.3,-33.6463858612946,-70.87814253304
KM 33.4,-33.6471432883087,-70.87871287688
KM 33.5,-33.6479183289841,-70.87929725921
KM 33.6,-33.6486972340885,-70.87986286116
KM 33.7,-33.6494254046857,-70.88046149321
KM 33.8,-33.6500893337173,-70.8811730048
